mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
106.07225914478302,1.1183097766582122,0.5226380538940429,0.01691211310092651,0.8,1,8,0.6,2,0.8,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.6, 'gamma': 2, 'colsample_bytree': 0.8}",-251.60986498430034,-253.39377376984976,-255.96949527584505,-249.21637984737896,-255.71631815190452,-251.5608038984741,-254.53282594603888,-257.0913311718537,-247.39332104532963,-247.5137745648469,-253.81704786150172,-250.0721455559082,-249.51585433230218,-252.12584083542805,-250.86801531841974,-248.0583416840002,-252.93140620015566,-248.52605812541051,-246.92146801994477,-248.20213359642207,-252.52008833010754,-252.5665014052572,-248.32892220471723,-246.5983308056229,-253.92905329535736,-249.67999953019398,-251.92453071442725,-246.4253572772387,-255.1449861359349,-257.11761045131675,-252.32588439956046,-249.31832066418818,-252.6512410668112,-254.4281521867347,-255.9763950604645,-253.43428621700303,-253.87866835586237,-252.70653188872376,-250.92350834684646,-249.57065728429393,-254.0784788413318,-254.96271329072306,-253.95964985102594,-255.35570790791033,-250.739136026389,-252.1372094879877,-248.84990730976298,-246.75878662418307,-252.5538675710181,-258.64070513321116,-251.8504277569904,3.0628079533829937,6
96.08375383377076,0.7327309264903249,0.5109534692764283,0.014055134180829772,1.0,3,8,0.6,1,0.8,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.6, 'gamma': 1, 'colsample_bytree': 0.8}",-247.92314241032392,-249.64837025189658,-251.92403250344464,-244.24637366492507,-247.83179567331436,-246.84420848638788,-251.25311194359878,-253.7697734149171,-244.5581698108068,-245.52498263085442,-251.063125874536,-245.56872236118951,-246.68012432396338,-248.5071945413655,-246.14539783035963,-244.4167944195205,-245.45310293116128,-248.3816417916478,-248.31054481718363,-246.18768050405487,-249.27480267567975,-249.28956041964406,-246.9112109352081,-242.96127327581465,-249.8846250303492,-247.36836075194185,-248.72364945599313,-245.70232312073142,-248.87312232442136,-248.98514992756492,-246.31318232392684,-243.96018958507972,-248.72523166855223,-243.62327641589255,-248.87620391639996,-249.85842697568998,-251.3809115453233,-247.00362913549472,-246.77186900674258,-247.36056575341797,-248.5635658297506,-246.02904643490507,-248.44003395924346,-249.41290706141925,-247.0843326691819,-251.10101154388553,-246.51018549734363,-244.9837014733934,-245.47664677425496,-249.5515894890749,-247.66477750323546,2.319843902768279,5
202.41872158050538,1.2676745754677796,1.5784455251693725,0.06113784822896589,1.0,1,13,0.3,2,1.0,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 13, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 1.0}",-221.65107747925578,-226.08578777281207,-227.43516703764635,-220.53432734899772,-223.8354342929016,-223.860088215336,-226.74381605294587,-226.6967476754415,-222.25341162751616,-221.9719071825647,-230.86895338035362,-220.54805728227626,-222.12698434733272,-224.00918126833204,-220.93944681812823,-221.26778244735587,-221.96267287913608,-221.34438122508925,-217.6700318153919,-225.2340165259285,-224.96622777889235,-225.11624479294684,-223.5032775902392,-219.38622487025964,-227.40724740512778,-220.11297476243138,-223.7501381818621,-220.4586118556482,-225.71588795784905,-226.928754848272,-224.89773579504222,-221.52326931822358,-226.24173615072107,-222.86753732814486,-225.80677722134405,-221.781971419055,-226.56387072189264,-221.0664946295527,-222.7036628594096,-224.13135592113258,-222.57032764107862,-225.57274158245838,-223.71492048074367,-226.9191758279011,-224.56955843442898,-229.02417691466175,-221.7493485495909,-219.30526242602403,-220.77793287010294,-226.69618723573657,-223.65737812091032,2.7508700613545956,1
200.7009259080887,1.256096690119391,1.4766249322891236,0.07616722367109745,0.8,2,12,0.7,0.5,1.0,"{'subsample': 0.8, 'min_child_weight': 2, 'max_depth': 12, 'learning_rate': 0.7, 'gamma': 0.5, 'colsample_bytree': 1.0}",-255.67422536035446,-264.28282380369825,-264.96788618030126,-253.5993161739205,-255.86003697196657,-263.09723208705634,-261.89668619339557,-262.42330368488444,-258.22958737210496,-257.2415061178293,-270.55207869224967,-259.7450109845147,-257.1756046848551,-258.12595373677146,-253.70240503610313,-255.44743311304387,-256.9126242852628,-260.7992787305073,-260.0103564591374,-260.10137444345565,-263.1641335923049,-265.4801799936653,-259.2360698173363,-255.88247783230602,-261.5597105784112,-252.75958143800048,-259.641069138712,-258.23713798610993,-259.5322693068999,-262.7680842112809,-260.45698513151603,-262.0319915225359,-258.35881307241044,-257.16788181228065,-262.46094145691086,-257.7461716400333,-268.9419254613327,-259.76147274621957,-257.5517802651728,-258.57278780059266,-259.8235982497565,-262.9700399970768,-257.9329427240555,-260.3393756288417,-254.72941883481866,-263.5257528140752,-259.1733586953186,-257.49216193921103,-255.2756608286581,-261.26801528895453,-259.67373027832423,3.6329968235431074,10
168.45867692470551,0.9831925056481766,1.489322109222412,0.0654989766230309,1.0,2,12,0.7,1.5,0.9,"{'subsample': 1.0, 'min_child_weight': 2, 'max_depth': 12, 'learning_rate': 0.7, 'gamma': 1.5, 'colsample_bytree': 0.9}",-252.17158498877757,-255.70791707366934,-259.14704940553383,-249.3143667913168,-254.33156631642825,-253.4930900606602,-259.00237017724885,-257.81452138279775,-248.59902655298748,-246.4022999624402,-258.47959902833003,-250.37923186625045,-249.10220525924635,-254.78789203091455,-244.42024267611754,-249.742061533436,-248.54975580508022,-246.44080622591815,-249.51491278862474,-252.14268359417383,-252.92593368153328,-254.23895440070714,-256.2664573527903,-244.96283203558733,-251.6437729634868,-248.81115217626552,-249.27961145000702,-246.12221225589232,-253.24829452491542,-256.43352693669,-249.20672312085574,-254.41471387643165,-252.81426019502535,-250.0480270348234,-256.53301580956116,-249.5235389750328,-257.7023751673552,-255.91808581268708,-245.072314786621,-253.4353671433184,-252.35645780516495,-254.25097849159894,-257.4713507469371,-255.72961396549607,-250.06892152484215,-253.34170219227434,-252.33383938492275,-250.12466142376437,-250.77801947961015,-256.15317580878593,-252.21506148085874,3.852807471511737,7
117.1097734117508,0.5205031612182596,0.49109525203704835,0.01566940774562419,1.0,3,8,0.4,0.5,1.0,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.4, 'gamma': 0.5, 'colsample_bytree': 1.0}",-239.27841508476803,-243.22307210035183,-244.69663644690655,-240.3663645242641,-241.27986186883007,-238.98761101961514,-247.2551508025169,-245.00034844144938,-238.25066556241302,-240.52709330808938,-247.7195794080441,-240.80684535019586,-239.06332909977843,-241.46110505009284,-239.21280307775956,-240.474843112597,-241.6889726486263,-239.12396771955022,-236.2901081616639,-239.49412044691272,-242.99784057736719,-242.7133346751592,-241.4591246075272,-238.70132989690543,-240.0206900119629,-237.982898092171,-240.83585812107773,-238.5810301603246,-242.8204445706991,-241.8919485903962,-240.80801595054874,-237.10656684318872,-242.93963511318316,-239.3860683290819,-246.21872915332764,-240.81492206524948,-241.64048972625656,-239.17785617214867,-241.50390634312396,-243.27117544041823,-240.31232171758634,-239.52708015775906,-242.88010638475856,-242.81795569959382,-239.10086708055957,-240.3945341526055,-240.38256885525817,-238.8062825364606,-237.3446319443738,-244.86385924946657,-241.03005930905928,2.479604793084334,3
133.11216463088988,3.8380418395703275,0.9557750511169434,0.07955838751006601,0.9,1,10,0.6,0.5,0.8,"{'subsample': 0.9, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.6, 'gamma': 0.5, 'colsample_bytree': 0.8}",-241.15507562680088,-244.37303921464144,-248.16511623749102,-242.14608364853052,-246.61820063148963,-243.49738380068013,-248.30158662891532,-248.62365530173108,-241.47425941944053,-242.41170492049739,-252.7050924737265,-243.0627424705139,-239.72617344626047,-241.50023738461485,-245.16607400882808,-244.23478703764397,-245.12960707277415,-244.54774376444482,-243.4894521492139,-247.11330013753138,-245.9807430540096,-246.19494025112223,-242.19351238243664,-237.79592635206214,-246.0770799361866,-240.58760707880865,-245.43610255403323,-237.79534874339572,-243.7109738097642,-251.02095706842883,-248.46700485733356,-245.20331741398388,-245.60395676521657,-246.0065235299547,-242.6254427935838,-239.09999085438469,-250.10183150622424,-243.38288030911747,-242.48224251540736,-243.5164049896912,-244.68002098249124,-244.74636206021927,-243.53165910000067,-242.39910608806733,-242.23509183540767,-246.40537152945694,-241.79341254262232,-243.04933146519355,-238.61625685974644,-248.89714511041464,-244.26155719429073,3.21710633637047,4
152.20385116577148,2.8564862695030295,1.3086379814147948,0.055505433361615515,1.0,3,12,0.4,1.5,0.8,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 12, 'learning_rate': 0.4, 'gamma': 1.5, 'colsample_bytree': 0.8}",-228.3409908570411,-233.96385623503895,-236.64116531659477,-226.42290777140119,-230.50906870954498,-229.90077283394703,-234.8546179797805,-233.18921106877508,-226.62547924538302,-231.16195076451672,-236.44644380058858,-225.61681003164844,-228.18651554108033,-229.8062721757592,-226.73361408607693,-228.00487385024812,-230.05565423452524,-226.7529510093859,-225.77833634208892,-232.26206441878253,-232.3881461400449,-234.48132373674653,-227.4122377299515,-225.96578020686204,-229.39272336757256,-230.0327327997262,-229.23107285993052,-224.93707304011463,-229.70828050566203,-234.21279092170988,-233.0034858227907,-228.2207549101075,-230.23786448035193,-229.72689665225604,-234.01393182722137,-231.99412596033054,-234.88894693405493,-230.2195271916583,-227.90435216004946,-229.96570273929248,-232.78784734071814,-229.10697681646934,-231.329890747131,-231.72530284214832,-229.52044443890014,-232.19637772400418,-228.89576043526014,-227.6826675535233,-227.38008929292224,-232.86538462977765,-230.25364096158995,2.9157837474560466,2
168.7827588558197,2.7941429388922656,1.4556284999847413,0.0721943746402837,1.0,3,12,0.7,0.5,0.9,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 12, 'learning_rate': 0.7, 'gamma': 0.5, 'colsample_bytree': 0.9}",-249.33331143618935,-257.2755769190567,-257.43086236536266,-250.92162793568212,-249.77273125924896,-255.32049445055333,-257.74561946453025,-254.94961628069913,-249.44302107992695,-245.99929307020216,-258.5488083430528,-250.08090346846268,-250.11802260317373,-254.99025263831643,-248.44881888748958,-254.46367000769922,-250.71264963052803,-245.58571421604674,-247.98199611759188,-255.30064198611754,-253.79843316541005,-255.58860702481908,-252.9171905935927,-247.27432933685023,-257.87945964594365,-250.3222532758405,-247.42807188281765,-243.9096868015406,-252.1834053399942,-257.59977607290733,-249.44582044983818,-251.16692025463422,-253.79803296989584,-250.23696332849644,-255.06619418004112,-251.65329035696115,-258.7457576116456,-253.7460188325474,-248.0175456945945,-253.10906537027748,-253.09703687132418,-255.83924253903214,-250.4689898244338,-252.882824902032,-255.07770872788856,-252.51264964815974,-253.90028084119808,-249.7902354543326,-246.72952095745245,-252.80851086693622,-252.22834909962737,3.6322956939683966,8
97.06441286087036,1.470890362000018,0.544871163368225,0.1088117907469154,1.0,3,8,0.7,2,0.8,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.7, 'gamma': 2, 'colsample_bytree': 0.8}",-253.88544140790472,-255.6061903825463,-261.36958249822203,-249.49027246946633,-256.86779597684176,-251.87101752380886,-259.29596080828713,-264.3519467439193,-245.91581140689297,-249.1967736503508,-260.9118376419082,-250.43962557731868,-249.15099415371384,-255.03458908440842,-254.47555741843325,-248.23230347460776,-253.17744768007614,-251.07815816960905,-249.43387530977446,-251.761332540014,-256.2894398742952,-251.21216339557685,-251.13866598310736,-249.58044583548397,-258.06156387409834,-251.26732544741657,-253.6298333648613,-247.52720997636442,-254.99874544241933,-258.9895608962504,-253.44055544227365,-247.54268632961478,-257.55823988331537,-251.10937977585553,-257.92290372158254,-252.40011027267062,-254.9024395980136,-252.04094782351189,-254.8291426783865,-253.6366091420701,-252.38999129338868,-253.01556663892882,-254.7925224227712,-256.53032344505726,-252.62925948301643,-256.0944262029422,-250.19854280527284,-253.3990751017675,-249.01614863612832,-259.23366561373996,-253.5384800863657,3.8975756854601613,9
